epoch,accuracy,loss,val_accuracy,val_loss
0,0.7166273593902588,1.6740520000457764,0.9242424368858337,0.25652801990509033
1,0.9456607103347778,0.26482316851615906,0.9414141178131104,0.16916492581367493
2,0.9667677283287048,0.1652185171842575,0.9616161584854126,0.10753625631332397
3,0.9756371378898621,0.1125224307179451,0.9545454382896423,0.12835033237934113
4,0.9837206602096558,0.0717446580529213,0.9676767587661743,0.10470881313085556
5,0.989334225654602,0.0536784753203392,0.965656578540802,0.106826052069664
6,0.9911305904388428,0.042543575167655945,0.9636363387107849,0.10686976462602615
7,0.994049608707428,0.032318972051143646,0.9676767587661743,0.10736994445323944
8,0.9936005473136902,0.030946142971515656,0.9686868786811829,0.10654415190219879
9,0.9942741394042969,0.02756129950284958,0.9686868786811829,0.10630061477422714
