epoch,accuracy,loss,val_accuracy,val_loss
0,0.6590322256088257,1.9995397329330444,0.8575757741928101,0.44129207730293274
1,0.8788593411445618,0.6264728903770447,0.90505051612854,0.32716435194015503
2,0.9035589694976807,0.48628926277160645,0.9151515364646912,0.2895623743534088
3,0.9168069958686829,0.41849851608276367,0.9171717166900635,0.27049821615219116
4,0.924104630947113,0.3891424238681793,0.9202020168304443,0.27066540718078613
5,0.9217469692230225,0.40574154257774353,0.9202020168304443,0.2701703906059265
6,0.9190524220466614,0.40292632579803467,0.9202020168304443,0.2704448699951172
7,0.9227573871612549,0.4054953455924988,0.9202020168304443,0.27071142196655273
8,0.9221960306167603,0.3997001349925995,0.9202020168304443,0.2709975242614746
9,0.9168069958686829,0.4196358919143677,0.9202020168304443,0.2713657021522522
