epoch,accuracy,loss,val_accuracy,val_loss
0,0.6622880697250366,2.6293206214904785,0.8020201921463013,0.7248732447624207
1,0.9026608467102051,0.5572108030319214,0.8898990154266357,0.3964514434337616
2,0.9426293969154358,0.3184954524040222,0.9141414165496826,0.28151658177375793
3,0.9655327200889587,0.18039588630199432,0.9434343576431274,0.18588824570178986
4,0.9810261726379395,0.09848883748054504,0.960606038570404,0.16810321807861328
5,0.9891096949577332,0.05303962156176567,0.965656578540802,0.16170606017112732
6,0.9946109652519226,0.024572785943746567,0.9676767587661743,0.1452983170747757
7,0.9968563914299011,0.017836736515164375,0.9696969985961914,0.15007837116718292
8,0.9971932172775269,0.015737315639853477,0.9717171788215637,0.1461905539035797
9,0.9979791045188904,0.011523383669555187,0.9717171788215637,0.14504384994506836
