epoch,accuracy,loss,val_accuracy,val_loss
0,0.6716066002845764,2.5666239261627197,0.7383838295936584,1.052846074104309
1,0.9024362564086914,0.5599981546401978,0.8828282952308655,0.4134250283241272
2,0.9415066838264465,0.3104301691055298,0.9323232173919678,0.22138173878192902
3,0.9655327200889587,0.16410906612873077,0.9434343576431274,0.19831819832324982
4,0.9784439206123352,0.09873251616954803,0.9565656781196594,0.17759883403778076
5,0.9880992770195007,0.05522306635975838,0.9585858583450317,0.15487511456012726
6,0.9933760166168213,0.030085066333413124,0.965656578540802,0.13583287596702576
7,0.9968563914299011,0.019507503136992455,0.9646464586257935,0.1448747217655182
8,0.9965195655822754,0.015577438287436962,0.965656578540802,0.14580461382865906
9,0.996968686580658,0.013790327124297619,0.9666666388511658,0.14377398788928986
